id_orig,id_dest,date,pigs moved,type_orig,type_dest
14,19,11/4/15,14,nursery,sow farm
6,5,11/4/15,96,GDU,GDU
19,14,11/4/15,176,sow farm,nursery
19,14,11/4/15,99,sow farm,nursery
19,14,11/4/15,160,sow farm,nursery
19,14,11/4/15,22,sow farm,nursery
19,14,11/4/15,171,sow farm,nursery
19,14,11/4/15,116,sow farm,nursery
19,14,11/4/15,120,sow farm,nursery
19,14,11/4/15,156,sow farm,nursery
19,14,11/4/15,168,sow farm,nursery
19,14,11/4/15,117,sow farm,nursery
19,14,11/4/15,90,sow farm,nursery
14,19,11/5/15,47,nursery,sow farm
19,14,11/5/15,171,sow farm,nursery
19,14,11/5/15,192,sow farm,nursery
19,14,11/5/15,90,sow farm,nursery
19,14,11/5/15,123,sow farm,nursery
19,14,11/5/15,24,sow farm,nursery
14,19,11/5/15,58,nursery,sow farm
19,14,11/5/15,131,sow farm,nursery
19,14,11/5/15,21,sow farm,nursery
19,14,11/5/15,49,sow farm,nursery
19,14,11/5/15,2,sow farm,nursery
19,17,11/6/15,194,sow farm,finisher
19,17,11/6/15,84,sow farm,finisher
6,5,11/7/15,75,GDU,GDU
6,5,11/7/15,138,GDU,GDU
17,19,11/7/15,183,finisher,sow farm
17,19,11/7/15,147,finisher,sow farm
19,17,11/7/15,70,sow farm,finisher
19,17,11/7/15,159,sow farm,finisher
17,19,11/7/15,2,finisher,sow farm
19,17,11/7/15,5,sow farm,finisher
17,19,11/8/15,158,finisher,sow farm
19,17,11/8/15,79,sow farm,finisher
19,17,11/8/15,163,sow farm,finisher
19,17,11/8/15,128,sow farm,finisher
19,17,11/8/15,85,sow farm,finisher
19,17,11/8/15,19,sow farm,finisher
19,17,11/8/15,53,sow farm,finisher
19,17,11/8/15,119,sow farm,finisher
17,19,11/8/15,75,finisher,sow farm
19,17,11/8/15,10,sow farm,finisher
19,17,11/9/15,2,sow farm,finisher
19,17,11/9/15,187,sow farm,finisher
14,26,11/10/15,118,nursery,sow farm
14,19,11/10/15,113,nursery,sow farm
19,14,11/10/15,89,sow farm,nursery
6,5,11/11/15,5,GDU,GDU
6,5,11/11/15,20,GDU,GDU
6,5,11/11/15,88,GDU,GDU
19,14,11/11/15,130,sow farm,nursery
19,14,11/11/15,127,sow farm,nursery
19,14,11/11/15,50,sow farm,nursery
19,14,11/12/15,33,sow farm,nursery
19,14,11/12/15,172,sow farm,nursery
19,14,11/12/15,20,sow farm,nursery
19,14,11/12/15,159,sow farm,nursery
19,14,11/12/15,167,sow farm,nursery
19,14,11/12/15,43,sow farm,nursery
19,17,11/13/15,30,sow farm,finisher
19,17,11/13/15,19,sow farm,finisher
17,19,11/13/15,155,finisher,sow farm
17,19,11/13/15,61,finisher,sow farm
19,17,11/13/15,75,sow farm,finisher
19,17,11/13/15,142,sow farm,finisher
17,19,11/13/15,93,finisher,sow farm
6,5,11/16/15,169,GDU,GDU
6,5,11/16/15,71,GDU,GDU
6,5,11/17/15,181,GDU,GDU
6,5,11/17/15,181,GDU,GDU
19,17,11/20/15,84,sow farm,finisher
17,19,11/20/15,25,finisher,sow farm
19,17,11/24/15,62,sow farm,finisher
17,19,11/24/15,177,finisher,sow farm
17,19,11/25/15,62,finisher,sow farm
17,19,11/25/15,87,finisher,sow farm
17,19,11/25/15,173,finisher,sow farm
4,17,12/2/15,145,sow farm,finisher
17,19,12/13/15,106,finisher,sow farm
19,17,12/14/15,172,sow farm,finisher
17,19,12/14/15,167,finisher,sow farm
19,17,12/15/15,4,sow farm,finisher
19,17,12/15/15,6,sow farm,finisher
17,19,12/15/15,33,finisher,sow farm
17,19,12/16/15,64,finisher,sow farm
17,19,12/16/15,163,finisher,sow farm
12,32,12/23/15,86,nursery,sow farm
19,17,12/24/15,48,sow farm,finisher
19,17,12/24/15,127,sow farm,finisher
17,19,12/24/15,28,finisher,sow farm
19,17,12/24/15,17,sow farm,finisher
17,19,12/24/15,53,finisher,sow farm
19,17,12/24/15,1,sow farm,finisher
17,33,12/24/15,193,finisher,sow farm
17,34,12/24/15,110,finisher,sow farm
17,35,12/24/15,18,finisher,sow farm
17,36,12/24/15,157,finisher,sow farm
19,17,12/24/15,153,sow farm,finisher
19,17,12/24/15,79,sow farm,finisher
17,19,12/24/15,40,finisher,sow farm
37,17,12/25/15,88,sow farm,finisher
38,17,12/25/15,137,sow farm,finisher
39,17,12/28/15,111,sow farm,finisher
40,17,12/28/15,111,sow farm,finisher
19,17,12/28/15,18,sow farm,finisher
17,19,12/29/15,142,finisher,sow farm
19,17,12/29/15,149,sow farm,finisher
17,19,12/29/15,62,finisher,sow farm
17,19,12/29/15,154,finisher,sow farm
19,17,12/29/15,154,sow farm,finisher
17,19,12/29/15,188,finisher,sow farm
17,19,12/29/15,180,finisher,sow farm
17,19,12/29/15,72,finisher,sow farm
17,19,12/29/15,15,finisher,sow farm
17,19,12/30/15,3,finisher,sow farm
19,17,12/30/15,85,sow farm,finisher
17,19,12/30/15,62,finisher,sow farm
19,17,12/30/15,83,sow farm,finisher
19,17,12/30/15,196,sow farm,finisher
19,17,12/30/15,173,sow farm,finisher
17,19,12/30/15,41,finisher,sow farm
19,17,12/31/15,166,sow farm,finisher
5,6,2/6/16,176,GDU,GDU
6,5,2/6/16,49,GDU,GDU
21,31,4/27/16,153,nursery,GDU
21,31,4/27/16,3,nursery,GDU
21,31,5/1/16,164,nursery,GDU
21,31,5/1/16,94,nursery,GDU
21,31,5/12/16,165,nursery,GDU
21,31,5/19/16,12,nursery,GDU
21,31,5/19/16,88,nursery,GDU
21,31,5/24/16,143,nursery,GDU
21,31,5/26/16,95,nursery,GDU
21,31,5/26/16,153,nursery,GDU
21,8,5/28/16,62,nursery,sow farm
21,8,5/28/16,46,nursery,sow farm
21,8,5/29/16,31,nursery,sow farm
21,8,5/29/16,75,nursery,sow farm
21,31,6/25/16,125,nursery,GDU
21,8,6/25/16,12,nursery,sow farm
21,31,6/25/16,147,nursery,GDU
21,8,6/25/16,137,nursery,sow farm
21,31,7/8/16,101,nursery,GDU
21,8,8/16/16,177,nursery,sow farm
21,8,8/16/16,85,nursery,sow farm
21,8,8/20/16,46,nursery,sow farm
21,8,8/26/16,4,nursery,sow farm
21,8,8/26/16,119,nursery,sow farm
21,8,8/27/16,119,nursery,sow farm
21,8,9/5/16,15,nursery,sow farm
21,8,9/5/16,92,nursery,sow farm
21,8,9/6/16,96,nursery,sow farm
21,8,9/6/16,23,nursery,sow farm
21,8,9/6/16,190,nursery,sow farm
21,8,9/7/16,79,nursery,sow farm
21,8,9/11/16,26,nursery,sow farm
21,8,9/11/16,55,nursery,sow farm
21,8,9/11/16,1,nursery,sow farm
21,8,9/11/16,31,nursery,sow farm
21,8,9/24/16,197,nursery,sow farm
21,8,9/27/16,125,nursery,sow farm
21,8,9/27/16,169,nursery,sow farm
23,2,8/15/15,79,sow farm,sow farm
23,2,8/25/15,84,sow farm,sow farm
23,2,8/25/15,109,sow farm,sow farm
23,2,8/25/15,189,sow farm,sow farm
23,2,8/26/15,101,sow farm,sow farm
23,2,8/26/15,29,sow farm,sow farm
23,2,8/31/15,35,sow farm,sow farm
23,24,9/1/15,26,sow farm,sow farm
23,2,9/4/15,180,sow farm,sow farm
23,2,9/20/15,130,sow farm,sow farm
23,17,9/22/15,117,sow farm,finisher
23,2,11/11/15,128,sow farm,sow farm
23,2,11/12/15,134,sow farm,sow farm
23,2,11/29/15,122,sow farm,sow farm
23,24,11/29/15,47,sow farm,sow farm
23,25,1/21/16,106,sow farm,GDU
23,25,1/27/16,183,sow farm,GDU
23,25,1/28/16,10,sow farm,GDU
23,25,1/31/16,195,sow farm,GDU
23,25,1/31/16,22,sow farm,GDU
23,15,3/16/16,81,sow farm,finisher
24,2,8/2/15,194,sow farm,sow farm
24,2,8/2/15,141,sow farm,sow farm
24,2,8/7/15,107,sow farm,sow farm
24,2,8/12/15,30,sow farm,sow farm
24,2,8/12/15,32,sow farm,sow farm
24,2,8/12/15,164,sow farm,sow farm
24,2,8/12/15,58,sow farm,sow farm
24,2,8/12/15,34,sow farm,sow farm
24,2,8/12/15,63,sow farm,sow farm
24,2,8/12/15,78,sow farm,sow farm
24,2,8/13/15,125,sow farm,sow farm
24,2,8/13/15,27,sow farm,sow farm
24,6,8/26/15,29,sow farm,GDU
24,2,9/8/15,124,sow farm,sow farm
24,2,9/9/15,122,sow farm,sow farm
24,6,9/11/15,142,sow farm,GDU
24,6,9/11/15,120,sow farm,GDU
24,6,9/11/15,1,sow farm,GDU
24,6,9/11/15,80,sow farm,GDU
24,2,9/13/15,52,sow farm,sow farm
24,2,11/3/15,197,sow farm,sow farm
24,2,11/21/15,186,sow farm,sow farm
24,2,12/1/15,21,sow farm,sow farm
24,2,12/11/15,114,sow farm,sow farm
24,2,12/20/15,149,sow farm,sow farm
24,25,1/20/16,162,sow farm,GDU
24,15,5/6/16,14,sow farm,finisher
25,17,9/12/15,158,GDU,finisher
25,17,9/12/15,100,GDU,finisher
25,17,9/19/15,168,GDU,finisher
25,17,9/19/15,159,GDU,finisher
25,17,9/19/15,143,GDU,finisher
25,17,9/20/15,133,GDU,finisher
25,17,9/20/15,112,GDU,finisher
25,17,9/20/15,17,GDU,finisher
25,17,9/24/15,104,GDU,finisher
25,17,9/24/15,98,GDU,finisher
25,17,9/28/15,14,GDU,finisher
25,17,9/28/15,12,GDU,finisher
25,8,11/12/15,157,GDU,sow farm
25,8,11/12/15,46,GDU,sow farm
25,8,11/13/15,146,GDU,sow farm
25,8,11/16/15,190,GDU,sow farm
25,8,11/16/15,19,GDU,sow farm
25,8,11/18/15,188,GDU,sow farm
25,8,11/18/15,35,GDU,sow farm
25,8,11/18/15,43,GDU,sow farm
25,8,11/18/15,70,GDU,sow farm
25,8,11/18/15,153,GDU,sow farm
25,8,11/19/15,12,GDU,sow farm
25,8,11/19/15,79,GDU,sow farm
25,8,11/19/15,142,GDU,sow farm
25,8,11/19/15,106,GDU,sow farm
25,8,11/19/15,117,GDU,sow farm
25,8,11/21/15,162,GDU,sow farm
25,8,11/23/15,179,GDU,sow farm
25,8,11/23/15,115,GDU,sow farm
25,8,11/24/15,78,GDU,sow farm
25,8,11/24/15,15,GDU,sow farm
25,8,11/26/15,117,GDU,sow farm
25,8,11/26/15,13,GDU,sow farm
25,8,11/26/15,100,GDU,sow farm
25,8,11/26/15,15,GDU,sow farm
25,8,11/26/15,152,GDU,sow farm
25,8,11/26/15,167,GDU,sow farm
25,8,11/26/15,130,GDU,sow farm
25,8,11/26/15,188,GDU,sow farm
25,8,11/26/15,167,GDU,sow farm
25,8,11/26/15,26,GDU,sow farm
25,8,11/27/15,70,GDU,sow farm
25,8,11/27/15,84,GDU,sow farm
25,8,11/27/15,137,GDU,sow farm
25,8,11/27/15,96,GDU,sow farm
25,8,11/27/15,187,GDU,sow farm
25,8,11/27/15,144,GDU,sow farm
25,8,11/28/15,2,GDU,sow farm
25,8,11/30/15,59,GDU,sow farm
25,8,11/30/15,121,GDU,sow farm
25,8,11/30/15,9,GDU,sow farm
25,8,12/16/15,98,GDU,sow farm
25,8,12/16/15,121,GDU,sow farm
25,8,12/16/15,160,GDU,sow farm
25,8,12/16/15,104,GDU,sow farm
25,8,12/16/15,64,GDU,sow farm
25,8,12/16/15,25,GDU,sow farm
25,8,12/17/15,8,GDU,sow farm
25,8,12/17/15,152,GDU,sow farm
25,8,12/17/15,173,GDU,sow farm
25,8,12/17/15,23,GDU,sow farm
25,8,12/17/15,23,GDU,sow farm
25,8,2/2/16,136,GDU,sow farm
25,8,2/9/16,162,GDU,sow farm
25,8,2/9/16,117,GDU,sow farm
25,8,2/9/16,181,GDU,sow farm
25,8,2/9/16,22,GDU,sow farm
25,8,2/9/16,60,GDU,sow farm
25,8,2/9/16,168,GDU,sow farm
25,8,2/14/16,191,GDU,sow farm
25,8,2/14/16,60,GDU,sow farm
25,8,2/14/16,105,GDU,sow farm
25,8,2/14/16,35,GDU,sow farm
25,8,2/14/16,77,GDU,sow farm
25,8,2/15/16,183,GDU,sow farm
25,8,2/16/16,40,GDU,sow farm
25,8,2/16/16,32,GDU,sow farm
25,8,2/16/16,2,GDU,sow farm
25,8,2/17/16,79,GDU,sow farm
25,8,2/18/16,15,GDU,sow farm
25,8,2/18/16,11,GDU,sow farm
25,8,2/18/16,156,GDU,sow farm
25,8,2/18/16,121,GDU,sow farm
25,8,2/18/16,160,GDU,sow farm
25,8,2/18/16,198,GDU,sow farm
25,8,2/18/16,55,GDU,sow farm
25,8,2/18/16,80,GDU,sow farm
25,8,2/18/16,47,GDU,sow farm
25,8,2/19/16,82,GDU,sow farm
25,8,2/19/16,31,GDU,sow farm
25,8,2/19/16,108,GDU,sow farm
25,8,2/19/16,25,GDU,sow farm
25,8,2/19/16,174,GDU,sow farm
25,8,2/19/16,191,GDU,sow farm
25,8,2/20/16,112,GDU,sow farm
25,8,2/20/16,75,GDU,sow farm
25,8,2/27/16,98,GDU,sow farm
25,8,2/27/16,105,GDU,sow farm
25,8,2/27/16,81,GDU,sow farm
25,15,2/27/16,176,GDU,finisher
25,15,2/28/16,144,GDU,finisher
25,15,2/29/16,157,GDU,finisher
25,15,3/1/16,136,GDU,finisher
25,15,3/1/16,71,GDU,finisher
25,15,3/2/16,111,GDU,finisher
25,15,3/3/16,185,GDU,finisher
25,8,3/4/16,165,GDU,sow farm
25,8,3/4/16,42,GDU,sow farm
25,8,3/4/16,106,GDU,sow farm
25,8,3/4/16,131,GDU,sow farm
25,8,3/4/16,196,GDU,sow farm
25,8,3/4/16,36,GDU,sow farm
25,15,3/7/16,196,GDU,finisher
25,15,3/7/16,144,GDU,finisher
25,15,3/8/16,93,GDU,finisher
25,15,3/8/16,74,GDU,finisher
25,15,3/8/16,113,GDU,finisher
25,8,3/10/16,108,GDU,sow farm
25,8,3/10/16,118,GDU,sow farm
25,8,3/11/16,108,GDU,sow farm
25,8,3/11/16,137,GDU,sow farm
25,15,3/11/16,167,GDU,finisher
25,15,3/11/16,142,GDU,finisher
25,15,3/11/16,37,GDU,finisher
25,15,3/15/16,154,GDU,finisher
25,15,3/15/16,126,GDU,finisher
25,8,3/16/16,90,GDU,sow farm
25,8,3/16/16,191,GDU,sow farm
25,8,3/17/16,67,GDU,sow farm
25,8,3/18/16,53,GDU,sow farm
25,8,3/18/16,35,GDU,sow farm
25,8,3/21/16,132,GDU,sow farm
25,15,3/21/16,75,GDU,finisher
25,8,3/21/16,88,GDU,sow farm
25,15,3/21/16,134,GDU,finisher
25,8,3/22/16,187,GDU,sow farm
25,8,3/23/16,16,GDU,sow farm
25,15,3/23/16,182,GDU,finisher
25,8,3/23/16,24,GDU,sow farm
25,15,3/23/16,33,GDU,finisher
25,8,3/23/16,1,GDU,sow farm
25,15,3/23/16,92,GDU,finisher
25,8,3/24/16,40,GDU,sow farm
25,8,3/28/16,129,GDU,sow farm
25,8,3/28/16,3,GDU,sow farm
25,8,3/28/16,115,GDU,sow farm
25,8,3/28/16,169,GDU,sow farm
25,8,3/28/16,181,GDU,sow farm
25,8,5/4/16,47,GDU,sow farm
25,8,5/11/16,167,GDU,sow farm
25,8,5/12/16,34,GDU,sow farm
25,8,5/12/16,23,GDU,sow farm
25,8,5/14/16,192,GDU,sow farm
27,15,5/1/16,7,nursery,finisher
28,31,8/25/15,155,nursery,GDU
28,31,8/25/15,97,nursery,GDU
28,31,8/25/15,21,nursery,GDU
28,31,8/25/15,85,nursery,GDU
28,31,8/26/15,5,nursery,GDU
28,31,8/28/15,139,nursery,GDU
28,31,8/28/15,69,nursery,GDU
28,31,8/31/15,104,nursery,GDU
28,31,9/1/15,155,nursery,GDU
28,31,9/1/15,18,nursery,GDU
28,31,9/1/15,87,nursery,GDU
28,31,9/1/15,137,nursery,GDU
28,1,9/4/15,80,nursery,sow farm
28,12,9/17/15,140,nursery,nursery
28,12,9/17/15,73,nursery,nursery
28,12,9/17/15,34,nursery,nursery
28,12,9/17/15,164,nursery,nursery
28,4,9/29/15,91,nursery,sow farm
28,4,9/29/15,108,nursery,sow farm
28,4,9/29/15,139,nursery,sow farm
28,31,6/27/16,166,nursery,GDU
28,31,6/27/16,25,nursery,GDU
29,17,8/14/15,84,nursery,finisher
29,17,8/15/15,5,nursery,finisher
29,17,8/15/15,96,nursery,finisher
29,17,8/15/15,36,nursery,finisher
29,17,8/15/15,134,nursery,finisher
29,17,8/16/15,26,nursery,finisher
29,17,8/16/15,199,nursery,finisher
29,17,8/16/15,147,nursery,finisher
29,17,8/16/15,120,nursery,finisher
29,17,8/16/15,22,nursery,finisher
29,17,8/16/15,113,nursery,finisher
29,17,8/16/15,161,nursery,finisher
29,17,8/16/15,24,nursery,finisher
29,17,8/16/15,102,nursery,finisher
29,17,8/16/15,80,nursery,finisher
29,17,8/16/15,17,nursery,finisher
29,17,8/16/15,150,nursery,finisher
29,17,8/16/15,156,nursery,finisher
29,17,8/16/15,104,nursery,finisher
29,17,8/17/15,51,nursery,finisher
29,7,8/17/15,69,nursery,GDU
29,17,8/17/15,94,nursery,finisher
29,17,8/17/15,169,nursery,finisher
29,17,8/17/15,57,nursery,finisher
29,17,8/17/15,176,nursery,finisher
29,17,8/17/15,181,nursery,finisher
29,17,8/17/15,52,nursery,finisher
29,17,8/17/15,99,nursery,finisher
29,17,8/17/15,135,nursery,finisher
29,17,8/17/15,74,nursery,finisher
29,17,8/17/15,67,nursery,finisher
29,17,8/17/15,173,nursery,finisher
29,17,8/17/15,48,nursery,finisher
29,17,8/17/15,123,nursery,finisher
29,17,8/17/15,198,nursery,finisher
29,17,8/17/15,89,nursery,finisher
29,17,8/18/15,99,nursery,finisher
29,17,8/18/15,8,nursery,finisher
29,17,8/18/15,160,nursery,finisher
29,17,8/18/15,91,nursery,finisher
29,17,8/18/15,31,nursery,finisher
29,17,8/18/15,104,nursery,finisher
29,17,8/18/15,143,nursery,finisher
29,17,8/18/15,125,nursery,finisher
29,17,8/18/15,107,nursery,finisher
29,17,8/18/15,149,nursery,finisher
29,17,8/18/15,49,nursery,finisher
29,17,8/18/15,85,nursery,finisher
29,17,8/18/15,183,nursery,finisher
29,17,8/19/15,138,nursery,finisher
29,17,8/19/15,82,nursery,finisher
29,17,8/19/15,158,nursery,finisher
29,17,8/19/15,29,nursery,finisher
29,17,8/19/15,31,nursery,finisher
29,17,8/20/15,128,nursery,finisher
29,17,8/20/15,30,nursery,finisher
29,17,8/20/15,197,nursery,finisher
29,17,8/20/15,130,nursery,finisher
29,17,8/20/15,193,nursery,finisher
29,17,8/20/15,63,nursery,finisher
29,17,8/20/15,54,nursery,finisher
29,17,8/20/15,14,nursery,finisher
29,17,8/20/15,186,nursery,finisher
29,17,8/20/15,186,nursery,finisher
29,17,8/20/15,37,nursery,finisher
29,17,8/20/15,115,nursery,finisher
29,17,8/20/15,116,nursery,finisher
29,17,8/20/15,8,nursery,finisher
29,17,8/20/15,22,nursery,finisher
29,17,8/20/15,23,nursery,finisher
29,17,8/20/15,161,nursery,finisher
29,17,8/20/15,130,nursery,finisher
29,17,8/20/15,154,nursery,finisher
29,17,8/21/15,115,nursery,finisher
29,17,8/21/15,183,nursery,finisher
29,17,8/21/15,8,nursery,finisher
29,17,8/21/15,170,nursery,finisher
29,17,8/21/15,5,nursery,finisher
29,17,8/21/15,32,nursery,finisher
29,17,8/21/15,95,nursery,finisher
29,17,8/21/15,169,nursery,finisher
29,17,8/21/15,39,nursery,finisher
29,17,8/21/15,45,nursery,finisher
29,17,8/21/15,185,nursery,finisher
29,17,8/21/15,128,nursery,finisher
29,17,8/21/15,93,nursery,finisher
29,17,8/22/15,137,nursery,finisher
29,17,8/22/15,181,nursery,finisher
29,7,8/22/15,8,nursery,GDU
29,7,8/22/15,47,nursery,GDU
29,17,8/22/15,29,nursery,finisher
29,7,8/22/15,142,nursery,GDU
29,17,8/23/15,168,nursery,finisher
29,17,8/23/15,64,nursery,finisher
29,17,8/23/15,167,nursery,finisher
29,17,8/23/15,113,nursery,finisher
29,17,8/23/15,140,nursery,finisher
29,17,8/23/15,109,nursery,finisher
29,30,8/23/15,4,nursery,nursery
29,30,8/23/15,47,nursery,nursery
29,30,8/23/15,19,nursery,nursery
29,30,8/23/15,36,nursery,nursery
29,30,8/23/15,156,nursery,nursery
29,30,8/24/15,51,nursery,nursery
29,30,8/24/15,72,nursery,nursery
29,30,8/24/15,186,nursery,nursery
29,30,8/24/15,85,nursery,nursery
29,30,8/24/15,198,nursery,nursery
29,17,8/24/15,39,nursery,finisher
29,30,8/24/15,21,nursery,nursery
29,17,8/24/15,47,nursery,finisher
29,30,8/24/15,104,nursery,nursery
29,17,8/24/15,98,nursery,finisher
29,17,8/24/15,130,nursery,finisher
29,30,8/24/15,81,nursery,nursery
29,30,8/24/15,94,nursery,nursery
29,30,8/24/15,137,nursery,nursery
29,17,8/24/15,39,nursery,finisher
29,30,8/24/15,97,nursery,nursery
29,17,8/24/15,82,nursery,finisher
29,30,8/24/15,5,nursery,nursery
29,30,8/24/15,3,nursery,nursery
29,30,8/24/15,76,nursery,nursery
29,30,8/24/15,22,nursery,nursery
29,30,8/24/15,92,nursery,nursery
29,30,8/25/15,164,nursery,nursery
29,30,8/25/15,34,nursery,nursery
29,30,8/25/15,136,nursery,nursery
29,30,8/25/15,143,nursery,nursery
29,8,8/25/15,111,nursery,sow farm
29,30,8/25/15,6,nursery,nursery
29,8,8/25/15,118,nursery,sow farm
29,17,8/25/15,84,nursery,finisher
29,30,8/25/15,186,nursery,nursery
29,17,8/25/15,25,nursery,finisher
29,30,8/25/15,66,nursery,nursery
29,17,8/25/15,161,nursery,finisher
29,30,8/25/15,58,nursery,nursery
29,17,8/25/15,145,nursery,finisher
29,17,8/25/15,200,nursery,finisher
29,30,8/25/15,83,nursery,nursery
29,30,8/25/15,46,nursery,nursery
29,17,8/25/15,51,nursery,finisher
29,17,8/25/15,62,nursery,finisher
29,30,8/26/15,152,nursery,nursery
29,30,8/26/15,19,nursery,nursery
29,30,8/26/15,97,nursery,nursery
29,17,8/26/15,181,nursery,finisher
29,17,8/26/15,100,nursery,finisher
29,17,8/26/15,85,nursery,finisher
29,17,8/26/15,165,nursery,finisher
29,17,8/27/15,124,nursery,finisher
29,17,8/27/15,172,nursery,finisher
29,17,8/27/15,86,nursery,finisher
29,17,8/27/15,156,nursery,finisher
29,7,8/28/15,92,nursery,GDU
29,17,8/28/15,3,nursery,finisher
29,1,8/28/15,93,nursery,sow farm
29,1,8/28/15,170,nursery,sow farm
29,1,8/28/15,101,nursery,sow farm
29,1,8/28/15,199,nursery,sow farm
29,17,8/29/15,26,nursery,finisher
29,17,8/29/15,141,nursery,finisher
29,17,8/29/15,9,nursery,finisher
29,17,8/30/15,71,nursery,finisher
29,17,8/30/15,64,nursery,finisher
29,17,8/30/15,139,nursery,finisher
29,17,8/30/15,21,nursery,finisher
29,17,8/30/15,69,nursery,finisher
29,17,9/1/15,34,nursery,finisher
29,17,9/1/15,62,nursery,finisher
29,17,9/1/15,128,nursery,finisher
29,17,9/1/15,160,nursery,finisher
29,17,9/1/15,169,nursery,finisher
29,17,9/1/15,142,nursery,finisher
29,17,9/1/15,95,nursery,finisher
29,17,9/1/15,75,nursery,finisher
29,17,9/2/15,19,nursery,finisher
29,17,9/2/15,88,nursery,finisher
29,17,9/2/15,189,nursery,finisher
29,17,9/2/15,106,nursery,finisher
29,17,9/2/15,4,nursery,finisher
29,17,9/2/15,9,nursery,finisher
29,17,9/3/15,35,nursery,finisher
29,17,9/3/15,105,nursery,finisher
29,17,9/3/15,162,nursery,finisher
29,17,9/3/15,44,nursery,finisher
29,17,9/3/15,140,nursery,finisher
29,17,9/3/15,57,nursery,finisher
29,17,9/4/15,56,nursery,finisher
29,17,9/4/15,54,nursery,finisher
29,17,9/4/15,166,nursery,finisher
29,17,9/4/15,49,nursery,finisher
29,17,9/4/15,81,nursery,finisher
29,17,9/4/15,28,nursery,finisher
29,17,9/4/15,105,nursery,finisher
29,17,9/4/15,22,nursery,finisher
29,17,9/4/15,117,nursery,finisher
29,17,9/4/15,50,nursery,finisher
29,17,9/4/15,48,nursery,finisher
29,17,9/4/15,61,nursery,finisher
29,17,9/4/15,123,nursery,finisher
29,17,9/5/15,90,nursery,finisher
29,17,9/5/15,161,nursery,finisher
29,17,9/5/15,75,nursery,finisher
29,17,9/5/15,184,nursery,finisher
29,17,9/5/15,23,nursery,finisher
29,17,9/5/15,105,nursery,finisher
29,17,9/5/15,115,nursery,finisher
29,17,9/5/15,75,nursery,finisher
29,17,9/5/15,44,nursery,finisher
29,17,9/5/15,136,nursery,finisher
29,17,9/6/15,79,nursery,finisher
29,17,9/6/15,15,nursery,finisher
29,17,9/6/15,191,nursery,finisher
29,17,9/6/15,57,nursery,finisher
29,17,9/6/15,153,nursery,finisher
29,17,9/6/15,65,nursery,finisher
29,17,9/7/15,136,nursery,finisher
29,17,9/7/15,112,nursery,finisher
29,17,9/7/15,25,nursery,finisher
29,17,9/7/15,148,nursery,finisher
29,17,9/7/15,116,nursery,finisher
29,17,9/7/15,109,nursery,finisher
29,17,9/7/15,15,nursery,finisher
29,17,9/7/15,168,nursery,finisher
29,17,9/12/15,83,nursery,finisher
29,17,9/12/15,2,nursery,finisher
29,17,9/13/15,113,nursery,finisher
29,17,9/13/15,87,nursery,finisher
29,17,9/13/15,8,nursery,finisher
29,17,9/13/15,152,nursery,finisher
29,17,9/13/15,17,nursery,finisher
29,17,9/13/15,197,nursery,finisher
29,17,9/13/15,153,nursery,finisher
29,17,9/13/15,159,nursery,finisher
29,17,9/13/15,117,nursery,finisher
29,17,9/13/15,94,nursery,finisher
29,17,9/13/15,159,nursery,finisher
